contrast	library	Name	Term	ES	NES	NOM p-val	FDR q-val	FWER p-val	Tag %	Gene %	Lead_genes
C1	HALLMARK	prerank	Myc Targets V2	-0.6504297304370044	-2.093960650543053	0.0	0.0	0.0	31/56	14.69%	NPM1;PES1;FARSA;IPO4;TCOF1;NOLC1;MYBBP1A;RRP12;MCM5;GRWD1;NOP2;PPAN;LAS1L;PUS1;MPHOSPH10;NOP16;MRTO4;HK2;WDR43;IMP4;NOP56;PLK1;MAP3K6;RRP9;TBRG4;CDK4;SLC19A1;GNL3;SRM;UNG;SORD
C1	HALLMARK	prerank	Myc Targets V1	-0.4732884059406775	-1.8349142265281888	0.0	0.0020901761719916397	0.004	64/199	9.41%	HSP90AB1;PPM1G;NPM1;HNRNPD;SET;SERBP1;HDGF;CCT5;TUFM;MCM2;MCM7;RANBP1;GSPT1;SNRPD1;HNRNPA1;SF3A1;PSMD7;EIF3B;RUVBL2;PSMA7;NOLC1;HNRNPA2B1;PRPF31;EIF4A1;EEF1B2;HNRNPU;MCM5;CYC1;RPL22;YWHAE;TRIM28;CCT3;RPS10;KPNB1;TYMS;RPS3;HNRNPA3;NME1;PSMD8;RPL14;HNRNPR;NOP16;FBL;EIF3D;SMARCC1;CDC45;ORC2;NOP56;DUT;SSBP1;DHX15;PABPC4;CCT7;PSMC4;CAD;PWP1;CDC20;CANX;RRP9;NHP2;RPS5;DDX21;HDDC2;NDUFAB1
C1	HALLMARK	prerank	UV Response Dn	0.4741259302813064	1.787482399662121	0.0	0.003791795932437091	0.004	48/138	12.02%	MET;CAV1;SNAI2;SLC7A1;NR1D2;NFIB;PTEN;CDK13;MAPK14;PDLIM5;PIAS3;NEK7;PPARG;ZMIZ1;PRKCA;TGFBR3;GJA1;MT1E;TFPI;DLG1;AGGF1;INSIG1;ADD3;BCKDHB;ATRN;MAP2K5;INPP4B;MMP16;DAB2;FZD2;GCNT1;ATP2B4;ADGRL2;NIPBL;ATRX;SERPINE1;NOTCH2;TOGARAM1;ATP2C1;MGLL;TJP1;PDGFRB;RUNX1;CDC42BPA;F3;NR3C1;AKT3;PRKCE
C1	HALLMARK	prerank	Mitotic Spindle	-0.4620582306381794	-1.7614551311603681	0.0	0.004528715039315219	0.013	64/196	9.13%	MYH9;CTTN;ACTN4;INCENP;EZR;SMC1A;NUMA1;FLNA;SPTBN1;ARHGDIA;NIN;CEP250;SPTAN1;CEP131;PREX1;SEPTIN9;GSN;PCNT;EPB41L2;VCL;BIN1;MYO9B;YWHAE;ITSN1;CLIP2;KIF2C;KLC1;ABR;DYNLL2;PRC1;RALBP1;CYTH2;CEP72;KIF4A;MARK4;SMC3;CLIP1;TPX2;LMNB1;KIF22;MYH10;FGD6;MID1IP1;FSCN1;SUN2;MAP3K11;RHOT2;KIF5B;KATNB1;TAOK2;MAP1S;TUBGCP2;TSC1;TBCD;PLK1;CNTROB;CDK5RAP2;BCAR1;TUBGCP6;KIF3C;ATG4B;KPTN;ARHGEF2;FLNB
C1	HALLMARK	prerank	Unfolded Protein Response	-0.47512131630839055	-1.7148118172473676	0.0	0.005225440429979099	0.02	44/112	12.18%	CALR;NPM1;EIF4G1;DCTN1;EEF2;NOP14;DKC1;HYOU1;HSP90B1;NOLC1;BAG3;EIF4A1;ARFGAP1;PDIA6;KHSRP;FUS;DNAJB9;XBP1;HSPA5;TUBB2A;EIF2AK3;EDC4;HSPA9;PREB;CXXC1;LSM4;DDX10;ZBTB17;NOP56;KIF5B;ALDH18A1;EIF4A3;NABP1;RRP9;NHP2;ATF4;CEBPG;EXOSC2;DDIT4;SERP1;EXOSC4;ATF3;YIF1A;EIF2S1
C1	HALLMARK	prerank	Protein Secretion	0.46520670784074636	1.6594576026329073	0.0	0.014693209238193726	0.03	38/92	13.94%	AP1G1;MAPK1;MON2;CLTC;SEC31A;SCAMP1;ABCA1;RAB2A;SEC24D;RPS6KA3;AP2B1;EGFR;AP3S1;RAB22A;ARFGEF1;COPB1;USO1;PAM;LAMP2;CAV2;DST;OCRL;DNM1L;VAMP3;CLCN3;CLN5;GOSR2;YIPF6;TMED10;RAB14;GBF1;SSPN;BNIP3;TPD52;TMX1;PPT1;VPS45;ADAM10
C1	HALLMARK	prerank	Myogenesis	-0.43589560806738886	-1.6335424199732953	0.0	0.01170498656315318	0.055	49/164	15.05%	FLII;MYH9;TPM3;APP;COL6A2;SPTAN1;COL1A1;SMTN;AK1;GSN;PLXNB2;BIN1;MYLK;HDAC5;FOXO4;COL6A3;SVIL;TNNT1;TPM2;GADD45B;PC;MYO1C;KIFC3;RIT1;PDLIM7;SPEG;PDE4DIP;DMPK;TSC2;MYH3;ADCY9;DES;NCAM1;MYL6B;CRAT;NOTCH1;SH2B1;PSEN2;FDPS;FABP3;BAG1;TEAD4;REEP1;GNAO1;AKT2;MEF2C;ANKRD2;DAPK2;STC2
C1	HALLMARK	prerank	E2F Targets	-0.41452405158517436	-1.5831760846077967	0.0	0.017418134766596996	0.094	51/199	9.26%	PNN;SMC1A;HNRNPD;LUC7L3;MCM3;MCM2;SSRP1;MCM7;RANBP1;GSPT1;NASP;HMGB2;PSMC3IP;HMGB3;ANP32E;NOLC1;DNMT1;LIG1;CIT;TK1;ILF3;TIMELESS;MCM5;TACC3;CTCF;MYBL2;KIF2C;PSIP1;LYAR;KIF4A;SMC3;NME1;RAD21;SNRPB;NCAPD2;POLD1;LMNB1;KIF22;ORC2;NOP56;STMN1;DUT;CDKN1B;PLK1;TUBG1;HELLS;UBR7;CDC20;TBRG4;ORC6;MKI67
C1	HALLMARK	prerank	Androgen Response	0.4270525347750739	1.540887619595086	0.0041841004184100415	0.037917959324370906	0.11	35/97	12.50%	B4GALT1;B2M;SLC38A2;ITGAV;SPCS3;VAPA;SCD;TMEM50A;ABHD2;SEC24D;RPS6KA3;PDLIM5;DHCR24;IDI1;LIFR;ZMIZ1;INSIG1;ELK4;INPP4B;XRCC5;ACSL3;TSC22D1;CDK6;GNAI3;UBE2J1;GPD1L;MAF;ELL2;FADS1;APPBP2;ANKH;CENPN;PGM3;HMGCS1;TPD52
C1	HALLMARK	prerank	DNA Repair	-0.4109482795564816	-1.531442619081711	0.0	0.024634219169901463	0.153	55/148	18.71%	GTF2F1;SUPT5H;ADRM1;SSRP1;GPX4;EDF1;LIG1;ALYREF;AK1;BCAP31;NELFB;TK2;NELFE;FEN1;USP11;POLR2F;TYMS;ZWINT;STX3;GSDME;NME1;CANT1;POLD1;ERCC2;GUK1;ERCC1;DUT;SNAPC5;POLR3GL;SRSF6;POLR2E;GTF3C5;CLP1;RALA;GTF2H1;NT5C;RAE1;ELOA;CETN2;POLB;POLR2J;SNAPC4;ADA;XPC;IMPDH2;MPC2;BOLA2;UMPS;POLR3C;VPS28;ZNF707;ERCC4;DDB1;TMED2;HCLS1
